VETER15
dlga_start:port_chief2|{s1}
dlga_start:close_window.18|{s44}
dlga_minister_replace_select:minister_replace_confirm|{s4}
dlga_minister_grant_fief_select:minister_grant_fief_select_recipient|{s1}{s12}
dlga_minister_grant_fief_select_recipient_choice:minister_grant_fief_complete|{s1}
dlga_minister_indict_select:minister_indict_confirm|{s11}
dlga_event_triggered:companion_personalityclash2_b|{s5}
dlga_companion_personalityclash2_b:companion_personalityclash2_response|{s5}
dlga_event_triggered:companion_personalityclash_b|{s5}
dlga_companion_personalityclash_b:companion_personalityclash_response|{s5}
dlga_lord_courtship_permission:lord_pretalk.1|{s14}
dlga_lord_courtship_permission:lord_pretalk.2|{s12}
dlga_lord_talk_ask_location_2:lord_talk_ask_location_3|{s1}
dlga_lord_talk_ask_location_3:lady_pretalk|{s1}
dlga_lord_talk_ask_location_3:lord_pretalk|{s1}
dlga_lord_talk_ask_about_war:lord_talk_ask_about_war_2|{s12}
dlga_lord_talk_ask_about_war_details:lord_talk_ask_about_war_2|{s9}.
dlga_lord_talk_ask_about_strategy:lord_strategy_follow_evaluation|{s7} {s9} {s14}
dlga_start:close_window.72|{s43}
dlga_start:close_window.73|{s43}
dlga_start:close_window.98|{s44}
dlga_start:close_window.100|{s44}
dlga_start:blocked_agent|Кажется, этот человек занят. Надо двигаться далее.
dlga_blocked_agent:close_window|Простите, что потревожил вас.
dlga_blocked_agent:close_window.1|[Уйти]
dlga_start:dog_talk_2|¡{s1}!
dlga_dog_talk_1:dog_talk_2|¡{s1}!
dlga_dog_talk_2:close_window|Рядом!
dlga_dog_talk_2:close_window.1|Вперед, {s1}, беги!
dlga_dog_talk_2:close_window.2|{s1}, стой!
dlga_dog_talk_2:dog_talk_pretrain|Эй, у меня есть кое-что для тебя...
dlga_dog_talk_2:close_window.3|Я назаву тебя...
dlga_dog_talk_2:close_window.4|Чертова псина! Убирайся! Ты мне не нужна больше!
dlga_dog_talk_2:close_window.5|Брось это!
dlga_start:dog_talk_recruit|
dlga_dog_talk_recruit:dog_talk_1|Вот, держи колбаску!
dlga_dog_talk_recruit:close_window|Хорошая псина!
dlga_dog_talk_recruit:close_window.1|Прочь!
dlga_dog_talk_pretrain:dog_talk_train|Эй, у меня есть кое-что для тебя...
dlga_dog_talk_train:dog_talk_pretrain|Что-то ты у меня плоховато выглядишь. держи {s7}, это тебе!
dlga_dog_talk_train:dog_talk_pretrain.1|Лови {s7}, теперь ты наберешься сил!
dlga_dog_talk_train:dog_talk_pretrain.2|Я хочу, чтобы моя псина стала злее. Держи {s7}, это тебе пойдет только на пользу!
dlga_dog_talk_train:dog_talk_pretrain.3|Что-то ты у меня похудела, псина. Держи {s7}, это тебе!
dlga_dog_talk_train:dog_talk_pretrain.4|Что ты еле плетешься. {s7}, держи ка, это тебе!
dlga_dog_talk_train:dog_talk_pretrain.5|{s7}, держи ка, это тебе! Чтобы зубы были крепче.
dlga_dog_talk_train:dog_talk_1|Извини, {s7}, и не смотри на меня так, для тебя нет жрачки.
dlga_dog_talk_train:dog_talk_1.1|Тебе на сегодня хватит.
dlga_start:close_window.1|Вы должны поговорить с матерью, возможно, ей что-то понадобится на пути в Вальхаллу.
dlga_start:close_window.2|Я в ожидании того, кто придет с девушкой. Видели их?
dlga_start:close_window.3|Ах, это вы {playername}. Тонкрик говорил мне, что вы появитесь скоро. Прошу на корабль, это чудо доставит вас куда угодно.
dlga_start:port_chief_travel|Приветствую! Хотите отправиться в другой город?
dlga_start:close_window.4|Пожалуйста, надо подождать всех, кто желает плыть на корабле.
dlga_port_chief2:port_chief3|Что вы хотели?
dlga_port_chief3:port_chief_fleet1|Приветствую. Я здесь, чтобы присоединиться к флоту Свена Бычья Шея и Харальда Харальдссона, которые должны направиться в Англию.
dlga_port_chief3:port_chief_bodoletter1|Некоторое время назад в этом порту видели человека по имени Атли Эйрикссон. Знаете, куда он направился?
dlga_port_chief3:port_chief_pieles|Моя часть сделки выполнена, теперь слово за вами. Где Атли Эйрикссон?
dlga_port_chief3:port_chief_catach|Мне довелось побывать в Глендалохе и в этом месте мною был найден манускрипт Катах Колума Килле.
dlga_port_chief3:port_chief_catach32|К сожалению, Глендалох слишком далеко. Возможно, я дам вам лучше монет?
dlga_port_chief3:port_chief_svenlair|Вы знаете, что мне нужно. Где скрывается Свен Бычья Шея?
dlga_port_chief3:port_chief_buy_ship|Я хочу купить корабль.
dlga_port_chief_buy_ship:close_window|Следуйте за мной!
dlga_port_chief3:port_chief_info_main|У меня есть пару вопросов: про корабли и морские путешествия.
dlga_port_chief_info_main:port_chief_info_main_1|Что вы хотите знать?
dlga_port_chief_info_main_1:port_chief_info_a_1|Для чего люди отправляются в море?
dlga_port_chief_info_main_1:port_chief_info_b_1|И как прокладывать путь в море?
dlga_port_chief_info_main_1:port_chief_info_c_1|Что нужно знать при покупке корабля?
dlga_port_chief_info_main_1:port_chief_info_d_1|Что нужно, чтобы корабль плыл быстрее?
dlga_port_chief_info_main_1:port_chief2|Это все, что мне нужно было знать, спасибо.
dlga_port_chief_info_a_1:port_chief_info_main|Морем куда быстрее доставлять товары и рабов, если вы торговец, и соответственно, покорять или грабить поселения, если вы воин. Наконец, ни один викинг не признает вас, как лидера, если у вас не будет хорошего корабля.
dlga_port_chief_info_b_1:port_chief_info_main|Днем ориентируйтесь по солнцу, ночью отдыхайте. И чем выше ваш поиск пути, тем быстрее вы путешествуете.
dlga_port_chief_info_c_1:port_chief_info_c_2|Для начала нужно определить для каких целей вам нужен корабль. Кнорр – хорош для торговли, вмещает много груза, но не очень быстрое судно. Шнека, Скей и Буссе прекрасные, быстрые военные корабли, на которых вы перевезете достаточно своих воинов. Корабль Карви что-то среднее между упомянутыми выше. И, если у вас небольшой отряд, то вам лучше подойдёт небольшой корабль Бурдинг.
dlga_port_chief_info_c_2:port_chief_info_main|Далее важным моментом при выборе корабля будет из какой древесины он изготовлен. Дубовые лучше, но дороже. Сосна дешевле, но гниёт быстрее.
dlga_port_chief_info_d_1:port_chief_info_main|Ветер! И умение ловить его парусами. Нет ветра, значит гребите, чем больше гребцов, тем быстрее плывешь. Если у вас более одного корабля, то флот двигается со скоростью самого медленного судна. Навык Морская навигация также влияет на скорость корабля.
dlga_port_chief3:port_chief_travel|Мне нужно попасть в другой порт.
dlga_port_chief_travel:close_window|К сожалению, нет пассажирских кораблей в этом порту.
dlga_port_chief_travel:close_window.1|К сожалению, в настоящее время нет кораблей в этом порту, которые могли бы перевезти ваш отряд и торговца с его грузом.
dlga_port_chief_travel:port_chief_travel_2|Отсюда можно добраться до портов Фризов, Дании, Норвегии и Англии. Куда вы хотите попасть?
dlga_port_chief_travel:port_chief_travel_2.1|Отсюда можно добраться до портов Англии и Ирландии. Куда вы хотите попасть?
dlga_port_chief_travel:close_window.2|К сожалению, нет пассажирских кораблей в этом порту.
